columns,na_count,num_rows,pct_missing,pct_w_data
BLOCK.LEVEL.LATITUDE,10676,206391,5.17,94.83
BLOCK.LEVEL.LONGITUDE,10676,206391,5.17,94.83
SITUS.STREET.NAME,10670,206391,5.17,94.83
SITUS.ZIP.CODE,10675,206391,5.17,94.83
SITUS.STREET.ADDRESS,10669,206391,5.17,94.83
SITUS.CITY.STATE.ZIP.SOURCE,10668,206391,5.17,94.83
ACRES,11725,206391,5.68,94.32
LAND.SQUARE.FOOTAGE,11722,206391,5.68,94.32
PARCEL.LEVEL.LATITUDE,13223,206391,6.41,93.59
PARCEL.LEVEL.LONGITUDE,13223,206391,6.41,93.59
SITUS.HOUSE.NUMBER,14334,206391,6.95,93.05
MAILING.HOUSE.NUMBER,15750,206391,7.63,92.37
SITUS.CARRIER.ROUTE,16844,206391,8.16,91.84
SITUS.DELIVERY.POINT.VALIDATION.CODE,16894,206391,8.19,91.81
SITUS.MODE,18140,206391,8.79,91.21
OWNER.1.FIRST.NAME.&.MIDDLE.INITIAL,21481,206391,10.41,89.59
OWNER.1.LAST.NAME,21552,206391,10.44,89.56
OWNER.OCCUPANCY.CODE,23318,206391,11.3,88.7
MAILING.MODE,23352,206391,11.31,88.69
TRANSACTION.BATCH.DATE,24159,206391,11.71,88.29
TRANSACTION.BATCH.SEQUENCE.NUMBER,24159,206391,11.71,88.29
SALE.DOCUMENT.TYPE.CODE,24159,206391,11.71,88.29
SALE.RECORDING.DATE,24159,206391,11.71,88.29
TRANSACTION.TYPE.CODE,24166,206391,11.71,88.29
NUMBER.OF.BUILDINGS,29031,206391,14.07,85.93
LIVING.SQUARE.FEET.-.ALL.BUILDINGS,32129,206391,15.57,84.43
UNIVERSAL.BUILDING.SQUARE.FEET,32293,206391,15.65,84.35
UNIVERSAL.BUILDING.SQUARE.FEET.SOURCE.INDICATOR.CODE,32293,206391,15.65,84.35
YEAR.BUILT,32373,206391,15.69,84.31
BEDROOMS.-.ALL.BUILDINGS,33080,206391,16.03,83.97
TOTAL.BATHROOMS.-.ALL.BUILDINGS,33471,206391,16.22,83.78
FULL.BATHS.-.ALL.BUILDINGS,33517,206391,16.24,83.76
EFFECTIVE.YEAR.BUILT,37017,206391,17.94,82.06
SITUS.DELIVERY.POINT.VALIDATION.VACANT.INDICATOR,38135,206391,18.48,81.52
SALE.AMOUNT,39829,206391,19.3,80.7
SALE.CODE,41917,206391,20.31,79.69
SELLER.NAME,42271,206391,20.48,79.52
RESIDENTIAL.MODEL.INDICATOR,42647,206391,20.66,79.34
TOTAL.ROOMS.-.ALL.BUILDINGS,45506,206391,22.05,77.95
LEGAL.LOT.NUMBER,50611,206391,24.52,75.48
PARKING.TYPE.CODE,59797,206391,28.97,71.03
SALE.RECORDED.DOCUMENT.NUMBER,59980,206391,29.06,70.94
LEGAL.DESCRIPTION,60627,206391,29.37,70.63
GARAGE.CODE,61836,206391,29.96,70.04
GARAGE.OR.PARKING.SQUARE.FEET,63318,206391,30.68,69.32
TITLE.COMPANY.CODE,65566,206391,31.77,68.23
SUBDIVISION.NAME,71964,206391,34.87,65.13
FIREPLACE.INDICATOR,72266,206391,35.01,64.99
NUMBER.OF.FIREPLACES,72942,206391,35.34,64.66
FIREPLACE.TYPE.CODE,73048,206391,35.39,64.61
HIGH.SCHOOL.DISTRICT.COUNTY.DESCRIPTION,82769,206391,40.1,59.9
SALE.DATE,85258,206391,41.31,58.69
TAXABLE.LAND.VALUE,94336,206391,45.71,54.29
TITLE.COMPANY.NAME,97740,206391,47.36,52.64
OWNER.OWNERSHIP.RIGHTS.CODE,99098,206391,48.01,51.99
ROOF.TYPE.CODE,99222,206391,48.07,51.93
TAXABLE.IMPROVEMENT.VALUE,99417,206391,48.17,51.83
NEIGHBORHOOD.DESCRIPTION,99824,206391,48.37,51.63
OWNER.2.FULL.NAME,102175,206391,49.51,50.49
OWNER.2.FIRST.NAME.&.MIDDLE.INITIAL,104552,206391,50.66,49.34
OWNER.2.LAST.NAME,104580,206391,50.67,49.33
STORIES.NUMBER,107581,206391,52.12,47.88
CONSTRUCTION.TYPE.CODE,109513,206391,53.06,46.94
ELEMENTARY.SCHOOL.DISTRICT.COUNTY.DESCRIPTION,110915,206391,53.74,46.26
BUILDING.CODE,112131,206391,54.33,45.67
BUILDING.QUALITY.CODE,114540,206391,55.5,44.5
BUILDING.STYLE.CODE,116173,206391,56.29,43.71
HEATING.TYPE.CODE,117926,206391,57.14,42.86
ROOF.COVER.CODE,117959,206391,57.15,42.85
TAX.EXEMPT.AMOUNT.TOTAL,119065,206391,57.69,42.31
FIRE.DISTRICT,119518,206391,57.91,42.09
HOMESTEAD.EXEMPT.INDICATOR,121303,206391,58.77,41.23
SEWER.CODE,125675,206391,60.89,39.11
WATER.CODE,126698,206391,61.39,38.61
TOTAL.SQUARE.FOOTAGE.ALL.BUILDINGS,127183,206391,61.62,38.38
BUILDING.SQUARE.FEET,127333,206391,61.7,38.3
MUNICIPALITY.NAME,127573,206391,61.81,38.19
RANGE,131822,206391,63.87,36.13
TOWNSHIP,131822,206391,63.87,36.13
SECTION,131822,206391,63.87,36.13
LEGAL.BLOCK.NUMBER,132628,206391,64.26,35.74
SUBDIVISION.TRACT.NUMBER,142090,206391,68.85,31.15
ZONING.CODE,142996,206391,69.28,30.72
VIEW.CODE,143578,206391,69.57,30.43
OWNER.RELATIONSHIP.TYPE.CODE,152471,206391,73.87,26.13
SALE.RECORDED.DOCUMENT.BOOK.NUMBER,154103,206391,74.67,25.33
SALE.RECORDED.DOCUMENT.PAGE.NUMBER,154103,206391,74.67,25.33
BUILDING.IMPROVEMENT.CONDITION.CODE,161877,206391,78.43,21.57
ZONING.CODE.DESCRIPTION,162424,206391,78.7,21.3
HALF.BATHS.-.ALL.BUILDINGS,163342,206391,79.14,20.86
EXTERIOR.WALL.CODE,163539,206391,79.24,20.76
FOUNDATION.TYPE.CODE,168503,206391,81.64,18.36
FRAME.CODE,172287,206391,83.48,16.52
ALTERNATE.PARCEL.ID,183939,206391,89.12,10.88
PREVIOUS.PARCEL.NUMBER.FORMATTED,183939,206391,89.12,10.88
NUMBER.OF.PARKING.SPACES,185504,206391,89.88,10.12
MAILING.UNIT.NUMBER,185543,206391,89.9,10.1
OWNER.ETAL.CODE,185855,206391,90.05,9.95
FRONT.FOOTAGE,188530,206391,91.35,8.65
DEPTH.FOOTAGE,188529,206391,91.35,8.65
SITUS.UNIT.NUMBER,189664,206391,91.9,8.1
OWNER.1.CORPORATE.INDICATOR,194002,206391,94,6
MULTI.OR.SPLIT.PARCEL.CODE,196341,206391,95.13,4.87
BUILDING.IMPROVEMENT.CODE,197572,206391,95.73,4.27
OWNER.CARE.OF.NAME,197825,206391,95.85,4.15
MAILING.DIRECTION,198079,206391,95.97,4.03
MOBILE.HOME.INDICATOR,199130,206391,96.48,3.52
POOL.INDICATOR,199435,206391,96.63,3.37
POOL.CODE,199435,206391,96.63,3.37
SITUS.DIRECTION,200758,206391,97.27,2.73
MAILING.OPT.OUT.INDICATOR,202013,206391,97.88,2.12
OWNER.3.FULL.NAME,202733,206391,98.23,1.77
OWNER.3.LAST.NAME,203744,206391,98.72,1.28
OWNER.3.FIRST.NAME.&.MIDDLE.INITIAL,203742,206391,98.72,1.28
AIR.CONDITIONING.CODE,204030,206391,98.86,1.14
LOCATION.INFLUENCE.CODE,204847,206391,99.25,0.75
FUEL.CODE,205074,206391,99.36,0.64
OWNER.2.CORPORATE.INDICATOR,205137,206391,99.39,0.61
VETERAN.EXEMPT.INDICATOR,205256,206391,99.45,0.55
MAILING.QUADRANT,205467,206391,99.55,0.45
OWNER.3.CORPORATE.INDICATOR,205567,206391,99.6,0.4
DISABLED.EXEMPT.INDICATOR,205848,206391,99.74,0.26
OWNER.4.LAST.NAME,205905,206391,99.76,0.24
OWNER.4.FIRST.NAME.&.MIDDLE.INITIAL,205902,206391,99.76,0.24
OWNER.4.FULL.NAME,205916,206391,99.77,0.23
FORECLOSURE.STAGE.CODE,206083,206391,99.85,0.15
LAST.FORECLOSURE.TRANSACTION.DATE,206083,206391,99.85,0.15
MAILING.HOUSE.NUMBER.SUFFIX,206099,206391,99.86,0.14
STORIES.CODE,206133,206391,99.87,0.13
BASEMENT.SQUARE.FEET,206192,206391,99.9,0.1
SITUS.HOUSE.NUMBER.SUFFIX,206239,206391,99.93,0.07
BASEMENT.FINISH.CODE,206242,206391,99.93,0.07
MAILING.HOUSE.NUMBER.2,206260,206391,99.94,0.06
SITUS.QUADRANT,206305,206391,99.96,0.04
LEGAL.LOT.NUMBER.SUFFIX,206299,206391,99.96,0.04
NUMBER.OF.BATHROOMS,206340,206391,99.98,0.02
SITUS.HOUSE.NUMBER.2,206369,206391,99.99,0.01
PREVIOUS.CLIP,206391,206391,100,0
TAX.ACCOUNT.NUMBER,206391,206391,100,0
PREVIOUS.PARCEL.NUMBER,206387,206391,100,0
PREVIOUS.PARCEL.SEQUENCE.NUMBER,206387,206391,100,0
QUARTER.SECTION,206391,206391,100,0
MUNICIPALITY.CODE,206391,206391,100,0
JURISDICTION.COUNTY.CODE,206391,206391,100,0
TOWN.CODE,206391,206391,100,0
TAX.DISTRICT.COUNTY,206391,206391,100,0
MUNICIPALITY.TAX.DISTRICT,206391,206391,100,0
WATER.DISTRICT,206391,206391,100,0
CBSA.TYPE,206391,206391,100,0
STATE.USE.DESCRIPTION,206391,206391,100,0
LEGAL.BLOCK.NUMBER.SUFFIX,206389,206391,100,0
SUBDIVISION.PLAT.BOOK,206391,206391,100,0
SUBDIVISION.PLAT.PAGE,206391,206391,100,0
OWNER.4.CORPORATE.INDICATOR,206384,206391,100,0
MARKET.TOTAL.VALUE,206391,206391,100,0
MARKET.LAND.VALUE,206391,206391,100,0
MARKET.IMPROVEMENT.VALUE,206391,206391,100,0
APPRAISED.TOTAL.VALUE,206391,206391,100,0
APPRAISED.LAND.VALUE,206391,206391,100,0
APPRAISED.IMPROVEMENT.VALUE,206391,206391,100,0
TAX.TOTAL.RATE.PERCENT,206391,206391,100,0
TAXABLE.OTHER.VALUE,206391,206391,100,0
SENIOR.EXEMPT.INDICATOR,206391,206391,100,0
WIDOW.EXEMPT.INDICATOR,206391,206391,100,0
EXEMPT.VALUE.AMOUNT,206391,206391,100,0
EASEMENT.TYPE.CODE,206391,206391,100,0
1QTR.BATHS.-.ALL.BUILDINGS,206391,206391,100,0
3QTR.BATHS.-.ALL.BUILDINGS,206391,206391,100,0
NUMBER.OF.BATH.FIXTURES,206391,206391,100,0
TOTAL.NUMBER.OF.BATH.FIXTURES.-.ALL.BUILDINGS,206391,206391,100,0
BASEMENT.TYPE.CODE,206391,206391,100,0
FLOOR.TYPE.CODE,206391,206391,100,0
NUMBER.OF.UNITS,206391,206391,100,0
GROUND.FLOOR.SQUARE.FEET,206391,206391,100,0
BUILDING.GROSS.SQUARE.FEET,206391,206391,100,0
ADJUSTED.GROSS.SQUARE.FEET,206391,206391,100,0
SECOND.FLOOR.SQUARE.FEET,206391,206391,100,0
FINISHED.BASEMENT.SQUARE.FEET,206391,206391,100,0
UNFINISHED.BASEMENT.SQUARE.FEET,206391,206391,100,0
ELECTRICITY/WIRING.CODE,206391,206391,100,0
UTILITIES.CODE,206391,206391,100,0
TOTAL.SQUARE.FOOTAGE.OPEN.AREAS,206391,206391,100,0
TOTAL.SQUARE.FOOTAGE.OFFICE.SPACE,206391,206391,100,0
TOTAL.NUMBER.OF.ELEVATORS,206391,206391,100,0
TOTAL.NUMBER.OF.LOADING.DOCKS,206391,206391,100,0
TOTAL.NUMBER.OF.RAIL.SPURS,206391,206391,100,0
TOTAL.NUMBER.OF.TRUCK.DOORS,206391,206391,100,0
TOTAL.NUMBER.OF.1.BEDROOMS,206391,206391,100,0
TOTAL.NUMBER.OF.2.BEDROOMS,206391,206391,100,0
TOTAL.NUMBER.OF.3.BEDROOMS,206391,206391,100,0
TOTAL.NUMBER.OF.EFFICIENCY.UNITS,206391,206391,100,0
RECORD.ACTION.INDICATOR,206391,206391,100,0
